Date,Likes Before,Likes After,Likes Received,Success
2025-09-26,107121,107137,16,TRUE
2025-09-28,107274,107274,0,FALSE
2025-09-28,107274,107374,100,TRUE
2025-09-29,107401,107401,0,FALSE
